TIME(s)	'C,A'	'C,B'	'A,B'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
0.002	33	33	31	22	2	0	0	0	0	0	76
0.004	39	39	38	30	7	0	0	0	0	0	88
0.006	39	42	41	33	11	0	0	0	0	0	91
0.008	39	42	41	33	20	0	0	0	0	0	91
0.01	42	43	43	36	25	0	0	0	0	0	94
0.012	43	44	43	37	32	0	0	0	0	0	95
0.014	43	44	43	37	34	0	0	0	0	0	95
0.016	44	44	44	38	38	0	0	0	0	0	96
0.018	44	44	44	38	39	0	0	0	0	0	97
0.02	44	44	44	38	42	0	0	0	0	0	97
0.022	44	44	44	38	46	0	0	0	0	0	98
0.024	44	44	44	38	47	0	0	0	0	0	99
0.026	44	44	44	38	51	0	0	0	0	0	99
0.028	44	44	44	38	53	0	0	0	0	0	99
0.03	44	44	44	38	55	0	0	0	0	0	99
0.032	44	44	44	38	56	0	0	0	0	0	99
0.034	44	44	44	38	59	0	0	0	0	0	99
0.036	44	44	44	38	64	0	0	0	0	0	100
0.038	44	44	44	38	70	0	0	0	0	0	102
0.04	44	44	44	38	73	0	0	0	0	0	102
0.042	44	44	44	38	74	0	0	0	0	0	102
0.044	44	44	44	38	76	0	0	0	0	0	102
0.046	44	44	44	38	81	0	0	0	0	0	102
0.048	44	44	44	38	82	0	0	0	0	0	102
0.05	44	44	44	38	83	0	0	0	0	0	102
0.052	44	44	44	38	86	0	0	0	0	0	102
0.054	44	44	44	38	91	0	0	0	0	0	102
0.056	44	44	44	38	93	0	0	0	0	0	102
0.058	44	44	44	38	97	0	0	0	0	0	102
0.06	44	44	44	38	100	0	0	0	0	0	102
0.062	44	44	44	38	106	0	0	0	0	0	102
0.064	44	44	44	38	107	0	0	0	0	0	102
0.066	44	44	44	38	109	0	0	0	0	0	102
0.068	44	44	44	38	109	0	0	0	0	0	103
0.07	44	44	44	38	111	0	0	0	0	0	104
0.072	44	43	44	38	114	0	0	0	0	0	104
0.074	44	43	44	38	120	0	0	0	0	0	104
0.076	44	43	44	38	122	0	0	0	0	0	104
0.078	44	44	45	39	125	0	0	0	0	0	105
0.08	44	44	45	39	128	0	0	0	0	0	105
0.082	44	44	45	39	129	0	0	0	0	0	105
0.084	45	45	45	40	130	0	0	0	0	0	106
0.086	45	45	45	40	131	0	0	0	0	0	106
0.088	45	45	45	40	134	0	0	0	0	0	106
0.09	45	45	45	40	136	0	0	0	0	0	106
0.092	45	45	45	40	138	0	0	0	0	0	107
0.094	45	45	45	40	138	0	0	0	0	0	108
0.096	45	45	45	40	141	0	0	0	0	0	108
0.098	45	45	45	40	146	0	0	0	0	0	108
0.1	45	45	45	40	147	0	0	0	0	0	108
0.102	45	45	45	40	150	0	0	0	0	0	109
0.104	45	45	45	40	152	0	0	0	0	0	110
0.106	45	45	45	40	156	0	0	0	0	0	110
0.108	45	45	45	40	159	0	0	0	0	0	110
0.11	45	45	45	40	162	0	0	0	0	0	110
0.112	45	45	45	40	162	0	0	0	0	0	110
0.114	45	45	45	40	164	0	0	0	0	0	110
0.116	45	45	45	40	167	0	0	0	0	0	110
0.118	45	45	45	40	169	0	0	0	0	0	110
0.12	45	45	45	40	172	0	0	0	0	0	110
0.122	45	45	45	40	174	0	0	0	0	0	111
0.124	45	45	45	40	180	0	0	0	0	0	112
0.126	45	45	45	40	181	0	0	0	0	0	112
0.128	45	45	45	40	183	0	0	0	0	0	112
0.13	45	45	45	40	183	0	0	0	0	0	112
0.132	45	45	45	40	185	0	0	0	0	0	112
0.134	45	45	45	40	185	0	0	0	0	0	112
0.136	45	45	45	40	190	0	0	0	0	0	112
0.138	45	45	45	40	191	0	0	0	0	0	112
0.14	45	45	45	40	194	0	0	0	0	0	112
0.142	45	45	45	40	196	0	0	0	0	0	112
0.144	45	45	45	40	197	0	0	0	0	0	112
0.146	45	45	45	40	199	0	0	0	0	0	112
0.148	45	45	45	40	202	0	0	0	0	0	112
0.15	45	45	45	40	209	0	0	0	0	0	112
0.152	45	45	45	40	209	0	0	0	0	0	112
0.154	45	45	45	40	209	0	0	0	0	0	113
0.156	45	45	45	40	209	0	0	0	0	0	115
0.158	45	45	45	40	211	0	0	0	0	0	115
0.16	44	45	45	40	215	0	0	0	0	0	115
0.162	45	46	45	41	218	0	0	0	0	0	116
0.164	45	46	45	41	224	0	0	0	0	0	116
0.166	45	46	45	41	227	0	0	0	0	0	117
0.168	46	46	46	42	228	0	0	0	0	0	118
0.17	46	46	46	42	229	0	0	0	0	0	119
0.172	46	46	46	42	230	0	0	0	0	0	119
0.174	46	46	46	42	230	0	0	0	0	0	121
0.176	46	46	46	42	231	0	0	0	0	0	121
0.178	46	46	46	42	233	0	0	0	0	0	121
0.18	46	46	46	42	233	0	0	0	0	0	121
0.182	46	46	46	42	234	0	0	0	0	0	122
0.184	46	46	46	42	234	0	0	0	0	0	122
0.186	46	46	46	42	235	0	0	0	0	0	124
0.188	46	46	46	42	235	0	0	0	0	0	125
0.19	46	46	46	42	235	0	0	0	0	0	127
0.192	46	46	46	42	237	0	0	0	0	0	127
0.194	46	46	46	42	238	0	0	0	0	0	127
0.196	46	46	46	42	238	0	0	0	0	0	127
0.198	46	46	46	42	238	0	0	0	0	0	127
0.2	46	46	46	42	239	0	0	0	0	0	127
