TIME(s)	'C,A'	'C,B'	'A,B'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
0.002	34	30	32	22	11	0	0	0	0	0	75
0.004	38	36	37	29	14	0	0	0	0	0	83
0.006	43	43	44	37	19	0	0	0	0	0	95
0.008	43	43	44	37	23	0	0	0	0	0	95
0.01	43	43	44	37	29	0	0	0	0	0	95
0.012	43	43	44	37	32	0	0	0	0	0	95
0.014	44	44	44	38	36	0	0	0	0	0	96
0.016	44	44	44	38	38	0	0	0	0	0	96
0.018	44	44	44	38	38	0	0	0	0	0	96
0.02	44	44	44	38	42	0	0	0	0	0	96
0.022	44	44	44	38	46	0	0	0	0	0	97
0.024	44	44	44	38	54	0	0	0	0	0	97
0.026	43	44	44	38	56	0	0	0	0	0	97
0.028	44	44	45	39	61	0	0	0	0	0	100
0.03	44	44	45	39	66	0	0	0	0	0	100
0.032	44	44	45	39	68	0	0	0	0	0	100
0.034	44	44	45	39	69	0	0	0	0	0	100
0.036	44	44	45	39	76	0	0	0	0	0	100
0.038	44	44	45	39	76	0	0	0	0	0	101
0.04	44	44	45	39	83	0	0	0	0	0	101
0.042	44	44	45	39	83	0	0	0	0	0	102
0.044	44	44	45	39	84	0	0	0	0	0	102
0.046	44	44	45	39	86	0	0	0	0	0	103
0.048	45	45	45	40	87	0	0	0	0	0	105
0.05	45	45	45	40	92	0	0	0	0	0	106
0.052	45	45	45	40	92	0	0	0	0	0	106
0.054	45	45	45	40	94	0	0	0	0	0	106
0.056	45	45	45	40	96	0	0	0	0	0	106
0.058	45	45	45	40	103	0	0	0	0	0	106
0.06	45	45	45	40	108	0	0	0	0	0	107
0.062	45	45	45	40	111	0	0	0	0	0	107
0.064	45	45	45	40	116	0	0	0	0	0	107
0.066	45	45	45	40	119	0	0	0	0	0	107
0.068	45	45	45	40	122	0	0	0	0	0	107
0.07	45	45	45	40	123	0	0	0	0	0	107
0.072	45	45	45	40	125	0	0	0	0	0	107
0.074	45	45	45	40	135	0	0	0	0	0	107
0.076	45	45	45	40	136	0	0	0	0	0	107
0.078	45	45	45	40	139	0	0	0	0	0	108
0.08	45	45	45	40	141	0	0	0	0	0	108
0.082	45	45	45	40	141	0	0	0	0	0	108
0.084	45	45	45	40	143	0	0	0	0	0	109
0.086	45	45	45	40	145	0	0	0	0	0	109
0.088	45	45	45	40	151	0	0	0	0	0	110
0.09	45	45	45	40	151	0	0	0	0	0	111
0.092	45	45	45	40	154	0	0	0	0	0	112
0.094	45	45	45	40	155	0	0	0	0	0	112
0.096	45	45	45	40	157	0	0	0	0	0	112
0.098	45	45	45	40	157	0	0	0	0	0	112
0.1	45	45	44	40	159	0	0	0	0	0	113
0.102	45	45	44	40	160	0	0	0	0	0	113
0.104	46	45	45	41	160	0	0	0	0	0	115
0.106	46	45	45	41	162	0	0	0	0	0	115
0.108	46	46	46	42	163	0	0	0	0	0	116
0.11	46	46	46	42	164	0	0	0	0	0	116
0.112	46	46	46	42	165	0	0	0	0	0	117
0.114	46	46	46	42	168	0	0	0	0	0	117
0.116	46	46	46	42	173	0	0	0	0	0	117
0.118	46	46	46	42	173	0	0	0	0	0	117
0.12	46	46	46	42	174	0	0	0	0	0	117
0.122	46	46	46	42	177	0	0	0	0	0	117
0.124	46	46	46	42	177	0	0	0	0	0	117
0.126	46	46	46	42	180	0	0	0	0	0	118
0.128	46	46	46	42	180	0	0	0	0	0	118
0.13	46	46	46	42	181	0	0	0	0	0	119
0.132	46	46	46	42	184	0	0	0	0	0	119
0.134	46	46	46	42	184	0	0	0	0	0	119
0.136	46	46	46	42	184	0	0	0	0	0	119
0.138	46	46	46	42	186	0	0	0	0	0	120
0.14	46	46	45	42	187	0	0	0	0	0	120
0.142	46	47	46	43	189	0	0	0	0	0	121
0.144	46	47	46	43	189	0	0	0	0	0	121
0.146	47	47	47	44	189	0	0	0	0	0	123
0.148	47	47	47	44	189	0	0	0	0	0	123
0.15	47	47	47	44	189	0	0	0	0	0	123
0.152	47	47	47	44	189	0	0	0	0	0	123
0.154	47	47	47	44	190	0	0	0	0	0	123
0.156	47	47	47	44	190	0	0	0	0	0	123
0.158	47	47	47	44	190	0	0	0	0	0	124
0.16	47	47	47	44	190	0	0	0	0	0	125
0.162	47	47	47	44	190	0	0	0	0	0	126
0.164	47	47	47	44	190	0	0	0	0	0	126
0.166	47	47	47	44	190	0	0	0	0	0	126
0.168	47	47	47	44	190	0	0	0	0	0	126
0.17	47	47	47	44	192	0	0	0	0	0	126
0.172	47	47	47	44	193	0	0	0	0	0	126
0.174	47	47	47	44	193	0	0	0	0	0	126
0.176	47	47	47	44	193	0	0	0	0	0	126
0.178	47	47	47	44	195	0	0	0	0	0	126
0.18	47	47	47	44	198	0	0	0	0	0	126
0.182	47	47	47	44	198	0	0	0	0	0	126
0.184	47	47	47	44	198	0	0	0	0	0	126
0.186	47	47	47	44	202	0	0	0	0	0	126
0.188	47	47	47	44	202	0	0	0	0	0	126
0.19	47	47	47	44	204	0	0	0	0	0	126
0.192	47	47	47	44	204	0	0	0	0	0	127
0.194	47	47	47	44	204	0	0	0	0	0	128
0.196	47	47	47	44	204	0	0	0	0	0	128
0.198	47	47	47	44	205	0	0	0	0	0	129
0.2	47	47	47	44	205	0	0	0	0	0	129
