Time (s): 0
200	dode: 1. 
Time (s): 0.001
163	dode: 1. 
14	dode: 2. 
3	dode: 3. 
Time (s): 0.002
139	dode: 1. 
20	dode: 2. 
7	dode: 3. 
Time (s): 0.003
121	dode: 1. 
2	dode: 6. 
20	dode: 2. 
6	dode: 3. 
1	dode: 4. 
1	dode: 5. 
Time (s): 0.004
94	dode: 1. 
8	dode: 3. 
1	dode: 6. 
18	dode: 2. 
4	dode: 4. 
2	dode: 7. 
2	dode: 5. 
Time (s): 0.005
87	dode: 1. 
7	dode: 3. 
2	dode: 6. 
20	dode: 2. 
4	dode: 4. 
2	dode: 7. 
2	dode: 5. 
Time (s): 0.006
73	dode: 1. 
5	dode: 4. 
1	dode: 6. 
4	dode: 5. 
21	dode: 2. 
3	dode: 7. 
6	dode: 3. 
Time (s): 0.007
64	dode: 1. 
1	dode: 6. 
4	dode: 4. 
17	dode: 2. 
6	dode: 5. 
2	dode: 8. 
9	dode: 3. 
1	dode: 7. 
Time (s): 0.008
51	dode: 1. 
1	dode: 6. 
7	dode: 4. 
13	dode: 2. 
8	dode: 5. 
1	dode: 8. 
6	dode: 3. 
2	dode: 7. 
1	dode: 9. 
Time (s): 0.009
45	dode: 1. 
3	dode: 6. 
6	dode: 4. 
10	dode: 2. 
3	dode: 7. 
8	dode: 3. 
6	dode: 5. 
2	dode: 9. 
Time (s): 0.01
42	dode: 1. 
2	dode: 6. 
6	dode: 4. 
9	dode: 2. 
2	dode: 7. 
7	dode: 3. 
7	dode: 5. 
2	dode: 9. 
2	dode: 8. 
Time (s): 0.011
39	dode: 1. 
6	dode: 5. 
3	dode: 6. 
5	dode: 4. 
8	dode: 2. 
3	dode: 7. 
7	dode: 3. 
3	dode: 9. 
1	dode: 8. 
Time (s): 0.012
36	dode: 1. 
6	dode: 5. 
3	dode: 6. 
6	dode: 4. 
7	dode: 2. 
4	dode: 7. 
5	dode: 3. 
3	dode: 9. 
1	dode: 8. 
Time (s): 0.013
3	dode: 6. 
7	dode: 5. 
34	dode: 1. 
5	dode: 4. 
2	dode: 8. 
3	dode: 7. 
4	dode: 2. 
4	dode: 3. 
4	dode: 9. 
Time (s): 0.014
3	dode: 6. 
7	dode: 5. 
33	dode: 1. 
5	dode: 4. 
3	dode: 8. 
2	dode: 7. 
4	dode: 2. 
4	dode: 3. 
4	dode: 9. 
Time (s): 0.015
3	dode: 6. 
7	dode: 5. 
31	dode: 1. 
6	dode: 4. 
4	dode: 8. 
1	dode: 7. 
4	dode: 2. 
3	dode: 3. 
4	dode: 9. 
Time (s): 0.016
4	dode: 6. 
30	dode: 1. 
6	dode: 4. 
4	dode: 8. 
6	dode: 5. 
1	dode: 7. 
4	dode: 2. 
3	dode: 3. 
4	dode: 9. 
Time (s): 0.017
5	dode: 6. 
25	dode: 1. 
8	dode: 4. 
4	dode: 8. 
5	dode: 5. 
1	dode: 7. 
3	dode: 2. 
1	dode: 10. 
3	dode: 9. 
2	dode: 3. 
Time (s): 0.018
5	dode: 6. 
23	dode: 1. 
7	dode: 4. 
4	dode: 9. 
6	dode: 5. 
2	dode: 7. 
3	dode: 8. 
1	dode: 10. 
1	dode: 2. 
1	dode: 3. 
Time (s): 0.019
5	dode: 6. 
21	dode: 1. 
7	dode: 4. 
1	dode: 10. 
6	dode: 5. 
2	dode: 7. 
3	dode: 9. 
3	dode: 8. 
1	dode: 11. 
1	dode: 3. 
1	dode: 2. 
Time (s): 0.02
5	dode: 6. 
20	dode: 1. 
6	dode: 4. 
1	dode: 10. 
7	dode: 5. 
2	dode: 7. 
3	dode: 9. 
3	dode: 8. 
1	dode: 2. 
1	dode: 11. 
1	dode: 3. 
Time (s): 0.021
6	dode: 6. 
15	dode: 1. 
5	dode: 4. 
1	dode: 10. 
7	dode: 5. 
2	dode: 7. 
3	dode: 9. 
2	dode: 3. 
3	dode: 8. 
1	dode: 2. 
1	dode: 11. 
Time (s): 0.022
6	dode: 6. 
2	dode: 10. 
5	dode: 4. 
14	dode: 1. 
7	dode: 5. 
2	dode: 7. 
2	dode: 3. 
3	dode: 8. 
1	dode: 2. 
1	dode: 11. 
2	dode: 9. 
Time (s): 0.023
5	dode: 5. 
5	dode: 6. 
2	dode: 10. 
5	dode: 4. 
10	dode: 1. 
3	dode: 7. 
2	dode: 3. 
2	dode: 2. 
3	dode: 8. 
2	dode: 11. 
2	dode: 9. 
Time (s): 0.024
5	dode: 5. 
5	dode: 6. 
3	dode: 10. 
5	dode: 4. 
10	dode: 1. 
2	dode: 2. 
3	dode: 8. 
2	dode: 11. 
2	dode: 7. 
2	dode: 9. 
1	dode: 3. 
Time (s): 0.025
5	dode: 5. 
5	dode: 6. 
3	dode: 10. 
5	dode: 4. 
8	dode: 1. 
3	dode: 2. 
3	dode: 8. 
2	dode: 11. 
